date,open,high,low,volume,close,future_return
2014-01-21,4.8288,4.843734,4.7834673,15069374.0,4.834667,0.007164639722916588
2014-01-22,4.838401,4.936001,4.836801,31719370.0,4.878401,0.014337296943050193
2014-01-23,4.8730664,4.9482665,4.8266664,38030628.0,4.9482665,-0.02945605372356852
2014-01-24,4.942933,4.9450665,4.794667,33875624.0,4.7973332,-0.0038911614591247146
2014-01-27,4.7973337,4.842134,4.7365336,29304372.0,4.778667,-0.001897286617511429
2014-01-28,4.7786665,4.824533,4.7754664,22321876.0,4.7962666,0.017667435424354228
2014-01-29,4.7696,4.8538666,4.7488,23345626.0,4.8304,0.0007690981865879909
2014-01-30,4.8538666,4.9375997,4.830933,20596876.0,4.922133,0.01954339712265707
2014-01-31,4.8575997,5.002133,4.8096,16066876.0,4.9466662,-0.007107614431780651
2014-02-03,4.9525337,4.9749336,4.869867,30601874.0,4.906133,-0.0048806944740167335
2014-02-04,4.917333,4.946133,4.8032,29855624.0,4.8864,0.005558787844603952
2014-02-05,4.893333,4.906133,4.8437333,15890626.0,4.891733,-0.010513899507655022
2014-02-06,4.920534,4.9861336,4.8576007,14135623.0,4.906667,0.01478803812027607
2014-02-07,4.8688,4.9669337,4.7904005,30089998.0,4.9552007,0.008635646049222734
2014-02-10,4.9408,4.970667,4.8992004,16524374.0,4.9690666,0.014019617266453288
2014-02-11,4.983467,5.0757337,4.9621334,18551250.0,5.052267,-0.013825785051621353
2014-02-12,5.0533333,5.0624,4.9882665,18498750.0,5.0224,0.014233745302216105
2014-02-13,4.983467,5.101867,4.983467,16104374.0,5.0741334,0.02236993333571302
2014-02-14,5.0544004,5.141867,5.0544004,14006249.0,5.1392,-0.002889907182764939
2014-02-18,5.167467,5.1685343,5.131201,9476249.0,5.1520004,0.018217620516198574
2014-02-19,5.1525335,5.216533,5.1200004,13998749.0,5.2101336,0.011080663992020234
2014-02-20,5.2464004,5.3082666,5.2149334,31214998.0,5.2912,-0.023024454174485398
2014-02-21,5.304534,5.3141336,5.177601,22888122.0,5.186134,-0.008335906143871696
2014-02-24,5.1824,5.2421336,5.113067,35360624.0,5.114667,-0.02449149673100859
2014-02-25,5.1392,5.1402664,5.0629334,34070624.0,5.0848,-0.0034041223630593143
2014-02-26,5.0133333,5.0826664,4.9066663,51080628.0,4.9487996,0.016332052530495966
2014-02-27,4.9962673,5.1210675,4.9733343,23876246.0,5.060801,-0.012078537076968487
2014-02-28,5.0778666,5.1424,5.0202665,20452500.0,5.075733,0.022219905881619262
2014-03-03,5.0165334,5.1056004,5.0160003,20561248.0,5.0762672,-0.0014560841581855444
2014-03-04,5.1280003,5.1424003,5.052267,25486874.0,5.1098666,-0.008436620910692194
2014-03-05,5.1205335,5.1205335,5.0389333,21667500.0,5.0794663,0.01039917901788412
2014-03-06,5.0773335,5.1077332,5.061867,11866874.0,5.0949335,-0.012683217450711215
2014-03-07,5.1301336,5.1317334,5.0544,14221874.0,5.070934,0.002948233458708538
2014-03-10,5.065067,5.0954666,5.0117335,13826250.0,5.0432,-0.008608858267716624
2014-03-11,5.08,5.1328,5.042667,19359374.0,5.0661335,0.013131412611761872
2014-03-12,5.036267,5.0933337,5.0261335,13694999.0,5.0773335,-0.012752194295692632
2014-03-13,5.1024003,5.1237335,5.034667,13574999.0,5.059734,0.005611480756634535
2014-03-14,5.0373335,5.1264005,5.0149336,11379375.0,5.064533,-0.006106561425571644
2014-03-17,5.0656004,5.082667,5.037333,9266250.0,5.0405335,0.006038135193449756
2014-03-18,5.034667,5.103467,5.0245337,9474375.0,5.0517335,-0.018532232643714397
2014-03-19,5.065067,5.0693336,4.9621334,14613750.0,4.9994664,0.007188002896685086
2014-03-20,4.9712,5.032,4.9685335,12337500.0,4.9872003,-0.017575429908888274
2014-03-21,5.006933,5.0266666,4.894933,19520624.0,4.9007998,-0.005638213482839882
2014-03-24,4.918934,4.9328003,4.810134,14870624.0,4.8741336,-0.00981354268891066
2014-03-25,4.8912,4.904,4.7973332,17739374.0,4.8288,-0.003523765279154434
2014-03-26,4.8432,4.8581333,4.808534,14778749.0,4.819734,0.03425791954333968
2014-03-27,4.8261337,4.990934,4.8085337,117808120.0,4.973867,-0.009830076007714794
2014-03-28,4.991467,5.0080004,4.905067,14739374.0,4.9200006,-0.018776341577336764
2014-03-31,4.9424005,4.961601,4.838401,32919370.0,4.8512006,0.004948696493606075
2014-04-01,4.8496003,4.888534,4.8405337,35949372.0,4.8608003,-0.013350666175995785
2014-04-02,4.8735995,4.8741326,4.7722664,40243130.0,4.798933,0.004658447127031673
2014-04-03,4.8085337,4.829867,4.7984004,28194374.0,4.808,-0.0303600504581516
2014-04-04,4.830934,4.8416004,4.6416,55813120.0,4.7008004,-0.005237233935403984
2014-04-07,4.6842666,4.7184,4.652267,23426250.0,4.6613336,0.011903340405267526
2014-04-08,4.659734,4.7216,4.6533337,21054374.0,4.685867,0.02250869337388095
2014-04-09,4.7152004,4.821867,4.6944,21898124.0,4.8122673,-0.01803098702943884
2014-04-10,4.8213334,4.8592005,4.7397337,24073124.0,4.7509336,-0.0031542117269347525
2014-04-11,4.7344,4.7728,4.6853333,19335000.0,4.7050667,-0.0040681927049087685
2014-04-14,4.7194667,4.756267,4.6816,20135624.0,4.693867,0.004992567443509177
2014-04-15,4.700267,4.724267,4.645867,18586874.0,4.6933336,0.020097048660705497
2014-04-16,4.7237334,4.800534,4.713067,29634374.0,4.7946672,0.007526397603984547
2014-04-17,4.8186665,4.8906665,4.7882667,29135624.0,4.8624,0.007140427067005906
2014-04-21,4.8549337,4.9072003,4.8549337,19668748.0,4.9024005,0.006217400196335099
2014-04-22,4.8896,4.9424,4.885333,16773750.0,4.9184,-0.006612641470003067
2014-04-23,4.9200006,4.9296007,4.8474674,12719998.0,4.8538675,-0.012221751539816195
2014-04-24,4.8874664,4.9104,4.8090663,18339376.0,4.834133,-0.00044169799779747443
2014-04-25,4.827733,4.852267,4.7850666,14163750.0,4.7962666,-0.014146902252954674
2014-04-28,4.8256006,4.8448,4.692267,20161874.0,4.7520003,0.0008969731004553338
2014-04-29,4.7573333,4.8106666,4.7514668,16411875.0,4.783467,0.00728034617771911
2014-04-30,4.7616005,4.799467,4.7328005,24371248.0,4.7872005,0.042477705472002025
2014-05-01,4.7962666,4.856533,4.765333,26968126.0,4.8298664,0.00885313822937217
2014-05-02,5.000001,5.234668,4.9066677,66131240.0,5.060801,0.02125190961849821
2014-05-05,5.0442667,5.1845336,5.0261335,42948748.0,5.147733,0.0011387824089719167
2014-05-06,5.151467,5.1792,5.1216,18834374.0,5.148267,-0.0050672310616955984
2014-05-07,5.1573334,5.1936,5.113067,25066874.0,5.1392,0.005924540068599882
2014-05-08,5.1312,5.2192,5.122667,18553124.0,5.162667,0.006612968846869238
2014-05-09,5.1616,5.209067,5.1365333,11283750.0,5.184,0.008006530742964424
2014-05-12,5.1957335,5.2432003,5.1706667,21648748.0,5.2325335,0.009979830766164932
2014-05-13,5.2373333,5.333867,5.2261333,22923750.0,5.2885337,0.014720581004124877
2014-05-14,5.289601,5.3898673,5.264534,35058744.0,5.378134,-0.0049682093993312915
2014-05-15,5.367467,5.3776,5.264,39118124.0,5.313067,-5.617135689917063e-08
2014-05-16,5.3408003,5.3642673,5.2922673,22739998.0,5.343467,-0.0009985395446373557
2014-05-19,5.3408,5.3568,5.303467,21825000.0,5.3386664,0.005997675554923143
2014-05-20,5.335467,5.36,5.3082666,20615624.0,5.345067,0.0025833412607219053
2014-05-21,5.3674674,5.4101343,5.328001,23349372.0,5.378134,0.009217157963117506
2014-05-22,5.3813334,5.4309335,5.3658667,15088125.0,5.4128,-0.006088694872741995
2014-05-23,5.430934,5.434667,5.356267,18288748.0,5.3653336,-0.009090016987637006
2014-05-27,5.3978667,5.411733,5.338133,24166876.0,5.354133,0.006580915345498095
2014-05-28,5.3488,5.3621335,5.3194666,33813750.0,5.357333,-0.00099063893016349
2014-05-29,5.384,5.3919997,5.3242664,16393126.0,5.3711996,0.004462109789891366
2014-05-30,5.3786664,5.420266,5.3247995,32051250.0,5.4133334,-0.009180503568367526
2014-06-02,5.4026666,5.4026666,5.3146667,16385625.0,5.3546667,-0.0035868780579895176
2014-06-03,5.3530674,5.3664007,5.301334,16633124.0,5.3216004,0.006199386388853423
2014-06-04,5.3338666,5.3706665,5.3114667,12586875.0,5.360533,-0.00149047874323327
2014-06-05,5.3669333,5.3792,5.2896,14600625.0,5.3376,-0.0016919409718425538
2014-06-06,5.358934,5.386667,5.3349338,14878124.0,5.356267,9.962864497370383e-05
2014-06-09,5.349867,5.3914666,5.3370667,13831875.0,5.346667,-0.004485589862440076
2014-06-10,5.3504,5.3781333,5.3184004,14047500.0,5.346667,0.0037048285687426574
2014-06-11,5.3264003,5.3594666,5.317333,18585000.0,5.3445334,-0.007482042583409343
2014-06-12,5.3461337,5.3600006,5.3040004,12922499.0,5.3248005,-0.012966201737434457
2014-06-13,5.3061337,5.3184004,5.222934,16160624.0,5.2352004,-0.003869583782265762
2014-06-16,5.2373333,5.2448,5.154134,18103124.0,5.2144003,-0.0008179883447921865
2014-06-17,5.217067,5.248,5.1888003,8731875.0,5.2074666,-0.0031717122440639844
2014-06-18,5.2127995,5.224533,5.1546664,15279375.0,5.2127995,0.012829847432752839
2014-06-19,5.196266,5.2767997,5.192533,12594376.0,5.254933,-0.002533435109276505
2014-06-20,5.2629333,5.2752004,5.1914663,23175000.0,5.263467,-0.007009962663822034
2014-06-23,5.2496,5.2794666,5.2154665,12735000.0,5.2389336,0.01043575329614077
2014-06-24,5.2128005,5.285867,5.2064004,13595624.0,5.261334,0.010429450182260158
2014-06-25,5.2672,5.404267,5.249067,15506250.0,5.3445334,-0.007315486607439858
2014-06-26,5.322134,5.350934,5.2544003,13610624.0,5.322667,0.02241066020593574
2014-06-27,5.2832,5.4256,5.2693334,24140624.0,5.4208,0.009774881516587675
2014-06-30,5.4016,5.4704,5.357867,19353750.0,5.456,-0.005084390583748766
2014-07-01,5.4544,5.464534,5.4016004,14210624.0,5.4368005,0.001670564792459972
2014-07-02,5.4266677,5.4394674,5.3962674,14266873.0,5.419201,-0.002649136593953272
2014-07-03,5.4357333,5.437333,5.386667,7327500.0,5.4256005,-0.0016723376885903196
2014-07-07,5.4213333,5.438934,5.3845334,12309375.0,5.4064,-0.005025712885192157
2014-07-08,5.412267,5.4357333,5.317333,19586250.0,5.3664002,0.013568356119650682
2014-07-09,5.3850665,5.526933,5.3669333,20520000.0,5.5168,0.01827254850697102
2014-07-10,5.458133,5.6485333,5.458133,28951876.0,5.5541334,-0.0026869120833585836
2014-07-11,5.557867,5.5616007,5.500267,12618749.0,5.5274673,0.0007697187779720505
2014-07-14,5.5429335,5.5845337,5.532267,7059375.0,5.5493336,0.0018267774733198294
2014-07-15,5.5472,5.577067,5.500267,9290625.0,5.5344,-0.0036468029136634827
2014-07-16,5.5573335,5.5952005,5.5173335,8985000.0,5.5696,-0.0023118376570124832
2014-07-17,5.537067,5.592534,5.489067,12253124.0,5.5024004,0.00685481087062767
2014-07-18,5.5242662,5.5706663,5.488533,18840000.0,5.546133,0.005081862465017739
2014-07-21,5.562134,5.5808,5.5130672,17460000.0,5.575467,-0.00352980108757861
2014-07-22,5.5904,5.655467,5.5605335,16314375.0,5.5648,-0.0010530695875377027
2014-07-23,5.570667,5.5829334,5.5408,19809374.0,5.5728,-0.013705288672782201
2014-07-24,5.5648007,5.596801,5.5034676,20317498.0,5.5189342,0.004178347458387632
2014-07-25,5.4885335,5.6912003,5.4698668,46513124.0,5.505067,0.03570741108559772
2014-07-28,5.5114665,5.7360005,5.5114665,34700624.0,5.689067,-0.0014014236580781603
2014-07-29,5.7082667,5.7498665,5.642667,21418126.0,5.6789336,0.014034430317036106
2014-07-30,5.700267,5.841067,5.6960006,27491248.0,5.8112,-0.010703225300838226
