date,open,high,low,volume,close,return
2020-09-15,6.6425405,6.770913,6.635506,7999311.0,6.6929517,0.009102979679613155
2020-09-16,6.7474656,6.837737,6.661298,15254818.0,6.677125,-0.0023646816396418746
2020-09-17,6.569268,6.710537,6.5510974,15505596.0,6.695883,0.0028092929217291562
2020-09-18,6.741018,6.7562585,6.57513,21157488.0,6.6132317,-0.01234359979109556
2020-09-21,6.5000997,6.534098,6.3594174,17603944.0,6.3781753,-0.03554334864753039
2020-09-22,6.350039,6.4661016,6.2058396,14461540.0,6.457895,0.012498825486969567
2020-09-23,6.507134,6.5727854,6.331281,16145336.0,6.4016223,-0.008713783670994957
2020-09-24,6.367624,6.563993,6.3389015,15543127.0,6.473136,0.01117118390443017
2020-09-25,6.4625845,6.6155763,6.4285865,11747336.0,6.608542,0.02091814539351544
2020-09-28,6.7081923,6.8418403,6.630231,20725876.0,6.828944,0.0333510780441435
2020-09-29,6.8576665,6.9737296,6.8295307,13412366.0,6.9233184,0.01381976481283198
2020-09-30,6.947938,7.1448927,6.9227324,17288338.0,7.006555,0.012022645094583506
2020-10-01,7.0604835,7.299643,7.0604835,17073386.0,7.239267,0.0332134693868813
2020-10-02,7.071621,7.304919,7.058725,19248502.0,7.238681,-8.094742188680115e-05
2020-10-05,7.289092,7.4110165,7.272093,11151951.0,7.3787766,0.019353746904995583
2020-10-06,7.393431,7.4584966,7.181822,16819196.0,7.2140613,-0.022322846852417255
2020-10-07,7.308436,7.399879,7.2861614,8494044.0,7.3817077,0.02323883774040003
2020-10-08,7.4286017,7.4538074,7.3606052,6897252.0,7.3975344,0.0021440431730992415
2020-10-09,7.4590826,7.493081,7.3635364,8644169.0,7.385225,-0.001663986854863353
2020-10-12,7.4948397,7.6677613,7.4139476,10172722.0,7.620867,0.031907220159169025
2020-10-13,7.651348,7.6917944,7.60211,11752454.0,7.6161776,-0.0006153368114152347
2020-10-14,7.642556,7.686519,7.584524,11484616.0,7.592145,-0.0031554673830085367
2020-10-15,7.478427,7.62966,7.4444284,8084610.0,7.6085577,0.002161800123680502
2020-10-16,7.664244,7.723448,7.579249,6718125.0,7.656624,0.006317399682728153
2020-10-19,7.6325912,7.7521706,7.51008,8229617.5,7.5534573,-0.013474176085961687
2020-10-20,7.6624856,7.7017593,7.5563884,7202621.5,7.5804214,0.003569769302859571
2020-10-21,7.6056266,7.6378665,7.5083213,7999311.0,7.5522847,-0.0037117593488931178
